,sequence1,sequence2,simple_score,attention_score
0,semtech corp,semtech corporation,0.0361,0.9986
1,vanguard mid cap index,vanguard midcap index - a,0.0342,0.9943
2,spdr gold trust gold shares,spdr gold trust spdr gold shares,0.3027,0.9949
3,vanguard total bond index adm,vanguard total bond market index,0.133,0.0024
4,oakmark international fund class i,oakmark international cl i,0.0961,0.9955
5,pfizer inc div: 1.200,pfizer inc com,0.0276,0.9923
6,spartan global ex us index fid adv cl,sptn glb xus idx adv,0.0142,0.9887
7,vanguard total bond market idx-adm,vanguard total bond market index fund investor shares,0.1036,0.0004
8,banco latinoamericano de exportacio class e com stk npv,banco latinoamericano come-e,0.0188,0.9813
9,baidu inc fadr 1 adr reps 0.1 ord shs,baidu inc spons ads repr 0.10 ord cls a us0.00005,0.1337,0.9948
10,whole foods market,whole foods markets inc div: 0.540,0.0269,0.9872
11,walgreens boots alliance inc com,walgreens boots alli,0.01,0.9923
12,diageo plc new gb spon adr,diageo p l c spon adr new,0.0792,0.9842
13,guggenheim bulletshares 2016,guggenheim bulletshares 2016 high yield,0.0288,0.9965
14,vanguard small-cap index adm,vanguard small-cap index fund inst,0.0889,0.0028
15,emerging markets,vanguard ftse emerging marke,0.0011,0.9666
16,spdr s&p 500 etf iv,s&p 500 index spdr,0.0261,0.9893
17,tegna inc com,tegna inc,0.0808,0.9942
18,deere & company,deere co,0.0347,0.9959
19,vanguard mid-cap index,vanguard mid-cap index fund institutional plus shares,0.0505,0.9975
20,jpmorgan chase & co div: 1.760,jpmorgan chase & co,0.177,0.9996
21,american funds europacific growth fund - r6,af europac growth r6,0.0082,0.991
22,vanguard total bond market idx-adm,vang tot bd mk is pl,0.002,0.0428
23,unitedhealth gp inc div: 2.000,unitedhealth group incorporated,0.0038,0.9915
24,american intl group inc warrant 01/19/2021,american intl gro 21 wtswarrants exp 01/19/21,0.0392,0.9773
25,fifth street finance corp com,fifth street financial corp com,0.3175,0.9978
26,ishares jpm embi global core,ishares jpm usd emrg mkt bnd etf,0.0247,0.9818
27,metwest tot rtn bd m,metropolitan west tot ret bond,0.0088,0.0109
28,exelixis inc com,exelixis inc,0.0762,0.9981
29,glenmede large cap gwth,glenmede large cap growth,0.0836,0.9966
30,af europac growth r6,american funds europacific growth r6,0.024,0.9799
31,dreamworks animation skg cl a,dreamworks animation skg inc cl a,0.417,0.9986
32,dfa us small cap value port instl,dfa u s small cap value cl i,0.0876,0.9954
33,vanguard ltd-trm t/e adm,vanguard limited-term tax-exempt fund,0.0108,0.0196
34,ishares trust msci united kingdom etf,ishares msci u k etf shs,0.0158,0.9987
35,pimco total return cl a,pimco total return fund adm,0.0913,0.1186
36,amg yacktman fund service class,amg yacktman service,0.126,0.9987
37,vanguard intermediate-term treasury fund admiral shares,vang intm treas adm,0.0006,0.3127
38,pimco incm cl d,pimco fds income instl,0.0279,0.0004
39,vanguard growth index fund investor shares,vang growth idx adm,0.0012,0.0591
40,vanguard mid cap index,vanguard mid-cap index fund admiral shares,0.0301,0.9104
41,vanguard value index fund institutional shares,vanguard value index inv,0.0355,0.6988
42,vanguard target retirement 2060 fund,vanguard tgt rtrmnt 2060,0.0084,0.9938
43,netflix inc,netflix inc.,0.0287,0.9974
44,cisco sys inc com,cisco sys inc,0.1602,0.9934
45,pimco income fund cl p,pimco income fd i,0.055,0.0003
46,united parcel service-cl b,united parcel svc inc cl b,0.0874,0.9927
